# Auto-generated large-scale trimester data
# 100 patients over 90-day trimester, time horizon 120

set c := c1 c2 c3 c4;
set h := h1 h2 h3 h4;
set j := j1 j2;
set m := m1 m2 m3 m4 m5 m6;
set p := p32 p21 p3 p15 p14 p49 p63 p100 p62 p84 p54 p67 p42 p11 p16 p69 p44 p41 p8 p2 p52 p7 p38 p33 p90 p75 p87 p61 p23 p78 p17 p39 p97 p6 p28 p65 p18 p68 p5 p89 p48 p93 p80 p37 p31 p71 p4 p66 p56 p99 p36 p40 p46 p45 p77 p74 p59 p76 p53 p70 p43 p92 p27 p13 p35 p29 p50 p72 p91 p19 p51 p88 p10 p26 p55 p22 p96 p60 p30 p12 p85 p47 p20 p58 p57 p1 p73 p86 p94 p83 p24 p64 p79 p9 p82 p98 p95 p25 p81 p34;

param CIM :=
m1 2216.13
m2 16621.00
m3 5540.33
m4 2216.13
m5 16621.00
m6 5540.33
;

param CVM :=
m1 20920
m2 156900
m3 52300
m4 20920
m5 156900
m6 52300
;

param FCAP :=
m1 4
m2 31
m3 10
m4 4
m5 31
m6 10
;

param TT1 :=
j1 1
j2 2
;

param TT3 :=
j1 1
j2 2
;

param U1 :=
c1 m1 j1 1040
c1 m2 j1 2600
c1 m3 j1 2600
c1 m4 j1 2900
c1 m5 j1 3500
c1 m6 j1 3500
c2 m1 j1 2600
c2 m2 j1 200
c2 m3 j1 2600
c2 m4 j1 2900
c2 m5 j1 3500
c2 m6 j1 3500
c3 m1 j1 1840
c3 m2 j1 2000
c3 m3 j1 2900
c3 m4 j1 2900
c3 m5 j1 3500
c3 m6 j1 3500
c4 m1 j1 1640
c4 m2 j1 1820
c4 m3 j1 2900
c4 m4 j1 2900
c4 m5 j1 3500
c4 m6 j1 3500
c1 m1 j2 520
c1 m2 j2 520
c1 m3 j2 520
c1 m4 j2 936
c1 m5 j2 1053
c1 m6 j2 1053
c2 m1 j2 520
c2 m2 j2 100
c2 m3 j2 520
c2 m4 j2 936
c2 m5 j2 1053
c2 m6 j2 1053
c3 m1 j2 520
c3 m2 j2 520
c3 m3 j2 936
c3 m4 j2 936
c3 m5 j2 1053
c3 m6 j2 1053
c4 m1 j2 520
c4 m2 j2 520
c4 m3 j2 936
c4 m4 j2 936
c4 m5 j2 1053
c4 m6 j2 1053
;

param U3 :=
m1 h1 j1 1910
m1 h2 j1 1910
m1 h3 j1 2910
m1 h4 j1 1910
m2 h1 j1 2910
m2 h2 j1 400
m2 h3 j1 1910
m2 h4 j1 1910
m3 h1 j1 2910
m3 h2 j1 2910
m3 h3 j1 2910
m3 h4 j1 2910
m4 h1 j1 2910
m4 h2 j1 2910
m4 h3 j1 2910
m4 h4 j1 2910
m5 h1 j1 2910
m5 h2 j1 2910
m5 h3 j1 2910
m5 h4 j1 2910
m6 h1 j1 2910
m6 h2 j1 2910
m6 h3 j1 2910
m6 h4 j1 2910
m1 h1 j2 910
m1 h2 j2 910
m1 h3 j2 910
m1 h4 j2 910
m2 h1 j2 910
m2 h2 j2 300
m2 h3 j2 910
m2 h4 j2 910
m3 h1 j2 1755
m3 h2 j2 1755
m3 h3 j2 1755
m3 h4 j2 1755
m4 h1 j2 1755
m4 h2 j2 1755
m4 h3 j2 1755
m4 h4 j2 1755
m5 h1 j2 1855
m5 h2 j2 1855
m5 h3 j2 1855
m5 h4 j2 1755
m6 h1 j2 1855
m6 h2 j2 1855
m6 h3 j2 1855
m6 h4 j2 1855
;

param INC :=
p32 c4 1 1
p21 c1 4 1
p3 c3 4 1
p15 c3 4 1
p14 c2 5 1
p49 c1 6 1
p63 c3 6 1
p100 c4 8 1
p62 c2 9 1
p84 c4 10 1
p54 c2 11 1
p67 c3 11 1
p42 c2 12 1
p11 c3 12 1
p16 c4 12 1
p69 c1 13 1
p44 c4 13 1
p41 c1 14 1
p8 c4 14 1
p2 c2 15 1
p52 c4 16 1
p7 c3 18 1
p38 c2 20 1
p33 c1 21 1
p90 c2 21 1
p75 c3 21 1
p87 c3 22 1
p61 c1 25 1
p23 c3 26 1
p78 c2 27 1
p17 c1 28 1
p39 c3 28 1
p97 c1 29 1
p6 c2 29 1
p28 c4 29 1
p65 c1 30 1
p18 c2 30 1
p68 c4 30 1
p5 c1 32 1
p89 c1 32 1
p48 c4 34 1
p93 c1 35 1
p80 c4 35 1
p37 c1 36 1
p31 c3 36 1
p71 c3 36 1
p4 c4 36 1
p66 c2 38 1
p56 c4 38 1
p99 c3 42 1
p36 c4 44 1
p40 c4 44 1
p46 c2 45 1
p45 c1 46 1
p77 c1 46 1
p74 c2 47 1
p59 c3 47 1
p76 c4 48 1
p53 c1 49 1
p70 c2 49 1
p43 c3 49 1
p92 c4 49 1
p27 c3 54 1
p13 c1 55 1
p35 c3 55 1
p29 c1 58 1
p50 c2 59 1
p72 c4 59 1
p91 c3 60 1
p19 c3 65 1
p51 c3 69 1
p88 c4 69 1
p10 c2 70 1
p26 c2 70 1
p55 c3 71 1
p22 c2 72 1
p96 c4 72 1
p60 c4 74 1
p30 c2 76 1
p12 c4 76 1
p85 c1 78 1
p47 c3 78 1
p20 c4 78 1
p58 c2 80 1
p57 c1 81 1
p1 c1 82 1
p73 c1 82 1
p86 c2 82 1
p94 c2 82 1
p83 c3 83 1
p24 c4 84 1
p64 c4 85 1
p79 c3 86 1
p9 c1 87 1
p82 c2 88 1
p98 c2 88 1
p95 c3 89 1
p25 c1 90 1
p81 c1 90 1
p34 c2 90 1
;

param FMAX := 1 ;
param FMIN := 0 ;
param TAD := 0 ;
param TLS := 1 ;
