# Auto-generated large-scale trimester data
# 1000 patients over 90-day trimester, time horizon 120

set c := c1 c2 c3 c4;
set h := h1 h2 h3 h4;
set j := j1 j2;
set m := m1 m2 m3 m4 m5 m6;
set p := p229 p417 p553 p162 p179 p675 p32 p300 p516 p604 p968 p149 p789 p897 p910 p387 p427 p288 p364 p836 p726 p738 p850 p183 p223 p671 p21 p585 p689 p705 p494 p822 p3 p15 p459 p479 p735 p700 p760 p433 p14 p102 p470 p974 p235 p500 p49 p341 p901 p514 p586 p734 p63 p443 p779 p416 p440 p133 p261 p285 p929 p902 p918 p411 p320 p612 p712 p728 p297 p317 p665 p953 p997 p266 p314 p326 p319 p100 p188 p232 p141 p221 p485 p785 p62 p106 p194 p234 p330 p658 p922 p332 p376 p524 p732 p237 p281 p369 p429 p925 p230 p590 p966 p363 p643 p767 p84 p980 p996 p961 p54 p650 p706 p934 p67 p191 p343 p571 p839 p192 p328 p724 p289 p42 p578 p11 p851 p16 p132 p412 p812 p69 p253 p265 p254 p890 p955 p44 p284 p368 p41 p269 p449 p501 p605 p909 p758 p167 p8 p392 p396 p468 p772 p792 p157 p509 p745 p921 p989 p2 p134 p151 p395 p495 p755 p184 p428 p777 p218 p530 p878 p615 p875 p52 p336 p936 p197 p245 p357 p541 p697 p374 p742 p906 p419 p439 p899 p196 p129 p393 p617 p709 p118 p7 p275 p651 p437 p601 p995 p116 p584 p797 p993 p38 p174 p310 p398 p454 p930 p135 p431 p931 p652 p656 p740 p33 p137 p325 p90 p422 p466 p630 p962 p75 p967 p160 p176 p380 p456 p756 p201 p569 p298 p998 p87 p291 p695 p752 p165 p457 p497 p547 p799 p895 p460 p608 p964 p277 p329 p825 p881 p917 p711 p61 p481 p542 p838 p882 p271 p311 p595 p891 p252 p272 p512 p876 p173 p209 p473 p521 p737 p766 p23 p583 p987 p445 p78 p402 p666 p351 p404 p556 p956 p17 p313 p657 p110 p206 p566 p958 p39 p107 p243 p295 p371 p747 p827 p883 p716 p97 p685 p853 p6 p478 p582 p730 p942 p607 p683 p28 p128 p220 p228 p472 p65 p101 p233 p477 p653 p893 p18 p226 p874 p982 p991 p68 p189 p645 p741 p290 p334 p354 p187 p239 p455 p579 p975 p640 p840 p844 p5 p89 p249 p377 p270 p338 p614 p634 p119 p219 p447 p587 p771 p811 p815 p963 p280 p464 p600 p736 p856 p513 p873 p410 p750 p147 p723 p935 p117 p373 p421 p633 p713 p829 p122 p202 p302 p350 p394 p163 p355 p407 p499 p919 p48 p496 p93 p105 p465 p809 p154 p646 p686 p802 p994 p399 p871 p959 p80 p37 p641 p721 p813 p885 p278 p486 p834 p31 p71 p415 p831 p983 p4 p240 p484 p636 p900 p889 p977 p379 p555 p304 p400 p572 p644 p912 p976 p973 p66 p158 p539 p56 p312 p852 p892 p904 p169 p677 p933 p390 p550 p554 p774 p383 p531 p360 p896 p441 p533 p581 p757 p761 p857 p186 p210 p950 p947 p476 p872 p109 p349 p353 p505 p877 p318 p362 p103 p623 p528 p648 p181 p561 p718 p810 p99 p715 p999 p536 p824 p461 p493 p577 p661 p418 p526 p483 p647 p867 p236 p821 p222 p830 p403 p691 p719 p36 p40 p156 p268 p788 p916 p729 p46 p375 p475 p487 p504 p780 p864 p45 p77 p257 p450 p444 p676 p828 p868 p185 p74 p442 p522 p794 p894 p59 p127 p214 p378 p434 p175 p751 p76 p784 p860 p53 p469 p545 p673 p70 p714 p43 p143 p299 p92 p720 p764 p820 p944 p301 p597 p142 p510 p654 p678 p690 p668 p113 p701 p765 p356 p537 p126 p482 p490 p694 p854 p211 p267 p335 p551 p599 p104 p296 p841 p969 p458 p462 p251 p259 p535 p923 p292 p452 p660 p722 p790 p938 p27 p543 p659 p667 p679 p344 p592 p664 p13 p205 p305 p425 p865 p949 p258 p414 p606 p782 p35 p139 p627 p124 p276 p708 p988 p557 p793 p438 p506 p798 p159 p503 p515 p523 p687 p807 p256 p381 p282 p642 p946 p215 p423 p563 p564 p624 p29 p217 p629 p849 p945 p274 p814 p970 p915 p632 p161 p361 p365 p717 p50 p474 p870 p115 p303 p591 p72 p616 p796 p145 p562 p618 p710 p806 p91 p279 p611 p663 p260 p696 p748 p816 p725 p861 p913 p250 p846 p199 p471 p631 p743 p979 p248 p568 p588 p972 p805 p294 p322 p674 p914 p884 p920 p193 p293 p309 p409 p182 p242 p638 p826 p842 p791 p684 p688 p848 p908 p924 p598 p131 p823 p112 p166 p626 p786 p19 p171 p323 p164 p372 p408 p532 p489 p573 p130 p238 p327 p567 p508 p517 p637 p837 p610 p216 p348 p800 p146 p178 p386 p203 p863 p943 p324 p620 p121 p153 p273 p781 p370 p518 p898 p51 p195 p699 p879 p887 p88 p492 p680 p804 p177 p649 p681 p10 p26 p382 p662 p990 p207 p287 p727 p244 p316 p432 p225 p389 p397 p965 p862 p866 p55 p283 p148 p200 p424 p436 p540 p552 p628 p613 p621 p937 p22 p426 p307 p451 p835 p843 p903 p96 p120 p337 p549 p817 p190 p746 p778 p347 p367 p703 p108 p932 p246 p594 p762 p926 p247 p511 p951 p60 p672 p125 p321 p669 p346 p498 p558 p123 p315 p339 p435 p759 p859 p911 p985 p30 p702 p886 p227 p12 p224 p768 p808 p948 p502 p622 p331 p140 p144 p180 p340 p776 p832 p888 p940 p85 p401 p753 p682 p754 p47 p507 p559 p20 p172 p204 p1000 p589 p625 p818 p954 p803 p939 p971 p384 p548 p453 p941 p58 p342 p366 p698 p527 p739 p576 p57 p593 p957 p770 p231 p639 p136 p168 p952 p1 p73 p413 p86 p94 p170 p406 p575 p635 p795 p927 p420 p984 p114 p83 p155 p359 p707 p787 p847 p907 p264 p488 p213 p385 p733 p801 p286 p602 p111 p263 p731 p24 p560 p992 p345 p529 p198 p570 p574 p858 p986 p255 p391 p783 p64 p308 p480 p704 p241 p525 p358 p534 p79 p463 p619 p819 p212 p352 p388 p448 p520 p544 p692 p744 p9 p333 p565 p693 p262 p546 p491 p763 p580 p960 p405 p981 p82 p98 p138 p150 p446 p519 p775 p152 p769 p845 p430 p95 p603 p655 p855 p208 p928 p25 p81 p609 p749 p773 p833 p869 p905 p34 p306 p538 p670 p978 p467 p596 p880;

param CIM :=
m1 2216.13
m2 16621.00
m3 5540.33
m4 2216.13
m5 16621.00
m6 5540.33
;

param CVM :=
m1 20920
m2 156900
m3 52300
m4 20920
m5 156900
m6 52300
;

param FCAP :=
m1 4
m2 31
m3 10
m4 4
m5 31
m6 10
;

param TT1 :=
j1 1
j2 2
;

param TT3 :=
j1 1
j2 2
;

param U1 :=
c1 m1 j1 1040
c1 m2 j1 2600
c1 m3 j1 2600
c1 m4 j1 2900
c1 m5 j1 3500
c1 m6 j1 3500
c2 m1 j1 2600
c2 m2 j1 200
c2 m3 j1 2600
c2 m4 j1 2900
c2 m5 j1 3500
c2 m6 j1 3500
c3 m1 j1 1840
c3 m2 j1 2000
c3 m3 j1 2900
c3 m4 j1 2900
c3 m5 j1 3500
c3 m6 j1 3500
c4 m1 j1 1640
c4 m2 j1 1820
c4 m3 j1 2900
c4 m4 j1 2900
c4 m5 j1 3500
c4 m6 j1 3500
c1 m1 j2 520
c1 m2 j2 520
c1 m3 j2 520
c1 m4 j2 936
c1 m5 j2 1053
c1 m6 j2 1053
c2 m1 j2 520
c2 m2 j2 100
c2 m3 j2 520
c2 m4 j2 936
c2 m5 j2 1053
c2 m6 j2 1053
c3 m1 j2 520
c3 m2 j2 520
c3 m3 j2 936
c3 m4 j2 936
c3 m5 j2 1053
c3 m6 j2 1053
c4 m1 j2 520
c4 m2 j2 520
c4 m3 j2 936
c4 m4 j2 936
c4 m5 j2 1053
c4 m6 j2 1053
;

param U3 :=
m1 h1 j1 1910
m1 h2 j1 1910
m1 h3 j1 2910
m1 h4 j1 1910
m2 h1 j1 2910
m2 h2 j1 400
m2 h3 j1 1910
m2 h4 j1 1910
m3 h1 j1 2910
m3 h2 j1 2910
m3 h3 j1 2910
m3 h4 j1 2910
m4 h1 j1 2910
m4 h2 j1 2910
m4 h3 j1 2910
m4 h4 j1 2910
m5 h1 j1 2910
m5 h2 j1 2910
m5 h3 j1 2910
m5 h4 j1 2910
m6 h1 j1 2910
m6 h2 j1 2910
m6 h3 j1 2910
m6 h4 j1 2910
m1 h1 j2 910
m1 h2 j2 910
m1 h3 j2 910
m1 h4 j2 910
m2 h1 j2 910
m2 h2 j2 300
m2 h3 j2 910
m2 h4 j2 910
m3 h1 j2 1755
m3 h2 j2 1755
m3 h3 j2 1755
m3 h4 j2 1755
m4 h1 j2 1755
m4 h2 j2 1755
m4 h3 j2 1755
m4 h4 j2 1755
m5 h1 j2 1855
m5 h2 j2 1855
m5 h3 j2 1855
m5 h4 j2 1755
m6 h1 j2 1855
m6 h2 j2 1855
m6 h3 j2 1855
m6 h4 j2 1855
;

param INC :=
p229 c1 1 1
p417 c1 1 1
p553 c1 1 1
p162 c2 1 1
p179 c3 1 1
p675 c3 1 1
p32 c4 1 1
p300 c4 1 1
p516 c4 1 1
p604 c4 1 1
p968 c4 1 1
p149 c1 2 1
p789 c1 2 1
p897 c1 2 1
p910 c2 2 1
p387 c3 2 1
p427 c3 2 1
p288 c4 2 1
p364 c4 2 1
p836 c4 2 1
p726 c2 3 1
p738 c2 3 1
p850 c2 3 1
p183 c3 3 1
p223 c3 3 1
p671 c3 3 1
p21 c1 4 1
p585 c1 4 1
p689 c1 4 1
p705 c1 4 1
p494 c2 4 1
p822 c2 4 1
p3 c3 4 1
p15 c3 4 1
p459 c3 4 1
p479 c3 4 1
p735 c3 4 1
p700 c4 4 1
p760 c4 4 1
p433 c1 5 1
p14 c2 5 1
p102 c2 5 1
p470 c2 5 1
p974 c2 5 1
p235 c3 5 1
p500 c4 5 1
p49 c1 6 1
p341 c1 6 1
p901 c1 6 1
p514 c2 6 1
p586 c2 6 1
p734 c2 6 1
p63 c3 6 1
p443 c3 6 1
p779 c3 6 1
p416 c4 6 1
p440 c4 6 1
p133 c1 7 1
p261 c1 7 1
p285 c1 7 1
p929 c1 7 1
p902 c2 7 1
p918 c2 7 1
p411 c3 7 1
p320 c4 7 1
p612 c4 7 1
p712 c4 7 1
p728 c4 7 1
p297 c1 8 1
p317 c1 8 1
p665 c1 8 1
p953 c1 8 1
p997 c1 8 1
p266 c2 8 1
p314 c2 8 1
p326 c2 8 1
p319 c3 8 1
p100 c4 8 1
p188 c4 8 1
p232 c4 8 1
p141 c1 9 1
p221 c1 9 1
p485 c1 9 1
p785 c1 9 1
p62 c2 9 1
p106 c2 9 1
p194 c2 9 1
p234 c2 9 1
p330 c2 9 1
p658 c2 9 1
p922 c2 9 1
p332 c4 9 1
p376 c4 9 1
p524 c4 9 1
p732 c4 9 1
p237 c1 10 1
p281 c1 10 1
p369 c1 10 1
p429 c1 10 1
p925 c1 10 1
p230 c2 10 1
p590 c2 10 1
p966 c2 10 1
p363 c3 10 1
p643 c3 10 1
p767 c3 10 1
p84 c4 10 1
p980 c4 10 1
p996 c4 10 1
p961 c1 11 1
p54 c2 11 1
p650 c2 11 1
p706 c2 11 1
p934 c2 11 1
p67 c3 11 1
p191 c3 11 1
p343 c3 11 1
p571 c3 11 1
p839 c3 11 1
p192 c4 11 1
p328 c4 11 1
p724 c4 11 1
p289 c1 12 1
p42 c2 12 1
p578 c2 12 1
p11 c3 12 1
p851 c3 12 1
p16 c4 12 1
p132 c4 12 1
p412 c4 12 1
p812 c4 12 1
p69 c1 13 1
p253 c1 13 1
p265 c1 13 1
p254 c2 13 1
p890 c2 13 1
p955 c3 13 1
p44 c4 13 1
p284 c4 13 1
p368 c4 13 1
p41 c1 14 1
p269 c1 14 1
p449 c1 14 1
p501 c1 14 1
p605 c1 14 1
p909 c1 14 1
p758 c2 14 1
p167 c3 14 1
p8 c4 14 1
p392 c4 14 1
p396 c4 14 1
p468 c4 14 1
p772 c4 14 1
p792 c4 14 1
p157 c1 15 1
p509 c1 15 1
p745 c1 15 1
p921 c1 15 1
p989 c1 15 1
p2 c2 15 1
p134 c2 15 1
p151 c3 15 1
p395 c3 15 1
p495 c3 15 1
p755 c3 15 1
p184 c4 15 1
p428 c4 15 1
p777 c1 16 1
p218 c2 16 1
p530 c2 16 1
p878 c2 16 1
p615 c3 16 1
p875 c3 16 1
p52 c4 16 1
p336 c4 16 1
p936 c4 16 1
p197 c1 17 1
p245 c1 17 1
p357 c1 17 1
p541 c1 17 1
p697 c1 17 1
p374 c2 17 1
p742 c2 17 1
p906 c2 17 1
p419 c3 17 1
p439 c3 17 1
p899 c3 17 1
p196 c4 17 1
p129 c1 18 1
p393 c1 18 1
p617 c1 18 1
p709 c1 18 1
p118 c2 18 1
p7 c3 18 1
p275 c3 18 1
p651 c3 18 1
p437 c1 19 1
p601 c1 19 1
p995 c3 19 1
p116 c4 19 1
p584 c4 19 1
p797 c1 20 1
p993 c1 20 1
p38 c2 20 1
p174 c2 20 1
p310 c2 20 1
p398 c2 20 1
p454 c2 20 1
p930 c2 20 1
p135 c3 20 1
p431 c3 20 1
p931 c3 20 1
p652 c4 20 1
p656 c4 20 1
p740 c4 20 1
