# Auto-generated large-scale trimester data
# 250 patients over 90-day trimester, time horizon 120

set c := c1 c2 c3 c4;
set h := h1 h2 h3 h4;
set j := j1 j2;
set m := m1 m2 m3 m4 m5 m6;
set p := p229 p162 p179 p32 p149 p183 p223 p21 p3 p15 p14 p102 p235 p49 p63 p133 p100 p188 p232 p141 p221 p62 p106 p194 p234 p237 p230 p84 p54 p67 p191 p192 p42 p11 p16 p132 p69 p44 p41 p167 p8 p157 p2 p134 p151 p184 p218 p52 p197 p245 p196 p129 p118 p7 p116 p38 p174 p135 p33 p137 p90 p75 p160 p176 p201 p87 p165 p61 p173 p209 p23 p78 p17 p110 p206 p39 p107 p243 p97 p6 p28 p128 p220 p228 p65 p101 p233 p18 p226 p68 p189 p187 p239 p5 p89 p249 p119 p219 p147 p117 p122 p202 p163 p48 p93 p105 p154 p80 p37 p31 p71 p4 p240 p66 p158 p56 p169 p186 p210 p109 p103 p181 p99 p236 p222 p36 p40 p156 p46 p45 p77 p185 p74 p59 p127 p214 p175 p76 p53 p70 p43 p143 p92 p142 p113 p126 p211 p104 p27 p13 p205 p35 p139 p124 p159 p215 p29 p217 p161 p50 p115 p72 p145 p91 p250 p199 p248 p193 p182 p242 p131 p112 p166 p19 p171 p164 p130 p238 p216 p146 p178 p203 p121 p153 p51 p195 p88 p177 p10 p26 p207 p244 p225 p55 p148 p200 p22 p96 p120 p190 p108 p246 p247 p60 p125 p123 p30 p227 p12 p224 p140 p144 p180 p85 p47 p20 p172 p204 p58 p57 p231 p136 p168 p1 p73 p86 p94 p170 p114 p83 p155 p213 p111 p24 p198 p64 p241 p79 p212 p9 p82 p98 p138 p150 p152 p95 p208 p25 p81 p34;

param CIM :=
m1 2216.13
m2 16621.00
m3 5540.33
m4 2216.13
m5 16621.00
m6 5540.33
;

param CVM :=
m1 20920
m2 156900
m3 52300
m4 20920
m5 156900
m6 52300
;

param FCAP :=
m1 4
m2 31
m3 10
m4 4
m5 31
m6 10
;

param TT1 :=
j1 1
j2 2
;

param TT3 :=
j1 1
j2 2
;

param U1 :=
c1 m1 j1 1040
c1 m2 j1 2600
c1 m3 j1 2600
c1 m4 j1 2900
c1 m5 j1 3500
c1 m6 j1 3500
c2 m1 j1 2600
c2 m2 j1 200
c2 m3 j1 2600
c2 m4 j1 2900
c2 m5 j1 3500
c2 m6 j1 3500
c3 m1 j1 1840
c3 m2 j1 2000
c3 m3 j1 2900
c3 m4 j1 2900
c3 m5 j1 3500
c3 m6 j1 3500
c4 m1 j1 1640
c4 m2 j1 1820
c4 m3 j1 2900
c4 m4 j1 2900
c4 m5 j1 3500
c4 m6 j1 3500
c1 m1 j2 520
c1 m2 j2 520
c1 m3 j2 520
c1 m4 j2 936
c1 m5 j2 1053
c1 m6 j2 1053
c2 m1 j2 520
c2 m2 j2 100
c2 m3 j2 520
c2 m4 j2 936
c2 m5 j2 1053
c2 m6 j2 1053
c3 m1 j2 520
c3 m2 j2 520
c3 m3 j2 936
c3 m4 j2 936
c3 m5 j2 1053
c3 m6 j2 1053
c4 m1 j2 520
c4 m2 j2 520
c4 m3 j2 936
c4 m4 j2 936
c4 m5 j2 1053
c4 m6 j2 1053
;

param U3 :=
m1 h1 j1 1910
m1 h2 j1 1910
m1 h3 j1 2910
m1 h4 j1 1910
m2 h1 j1 2910
m2 h2 j1 400
m2 h3 j1 1910
m2 h4 j1 1910
m3 h1 j1 2910
m3 h2 j1 2910
m3 h3 j1 2910
m3 h4 j1 2910
m4 h1 j1 2910
m4 h2 j1 2910
m4 h3 j1 2910
m4 h4 j1 2910
m5 h1 j1 2910
m5 h2 j1 2910
m5 h3 j1 2910
m5 h4 j1 2910
m6 h1 j1 2910
m6 h2 j1 2910
m6 h3 j1 2910
m6 h4 j1 2910
m1 h1 j2 910
m1 h2 j2 910
m1 h3 j2 910
m1 h4 j2 910
m2 h1 j2 910
m2 h2 j2 300
m2 h3 j2 910
m2 h4 j2 910
m3 h1 j2 1755
m3 h2 j2 1755
m3 h3 j2 1755
m3 h4 j2 1755
m4 h1 j2 1755
m4 h2 j2 1755
m4 h3 j2 1755
m4 h4 j2 1755
m5 h1 j2 1855
m5 h2 j2 1855
m5 h3 j2 1855
m5 h4 j2 1755
m6 h1 j2 1855
m6 h2 j2 1855
m6 h3 j2 1855
m6 h4 j2 1855
;

param INC :=
p229 c1 1 1
p162 c2 1 1
p179 c3 1 1
p32 c4 1 1
p149 c1 2 1
p183 c3 3 1
p223 c3 3 1
p21 c1 4 1
p3 c3 4 1
p15 c3 4 1
p14 c2 5 1
p102 c2 5 1
p235 c3 5 1
p49 c1 6 1
p63 c3 6 1
p133 c1 7 1
p100 c4 8 1
p188 c4 8 1
p232 c4 8 1
p141 c1 9 1
p221 c1 9 1
p62 c2 9 1
p106 c2 9 1
p194 c2 9 1
p234 c2 9 1
p237 c1 10 1
p230 c2 10 1
p84 c4 10 1
p54 c2 11 1
p67 c3 11 1
p191 c3 11 1
p192 c4 11 1
p42 c2 12 1
p11 c3 12 1
p16 c4 12 1
p132 c4 12 1
p69 c1 13 1
p44 c4 13 1
