# Auto-generated reduced data
# 50 patients, time horizon 120

set c := c1 c2 c3 c4;
set h := h1 h2 h3 h4;
set j := j1 j2;
set m := m1 m2 m3 m4 m5 m6;
set p := p7 p2 p4 p8 p38 p25 p46 p12 p43 p19 p14 p5 p22 p28 p41 p49 p1 p33 p3 p32 p29 p31 p34 p16 p50 p10 p30 p35 p6 p20 p40 p15 p21 p36 p23 p26 p11 p9 p42 p17 p13 p48 p45 p24 p39 p44 p18 p37 p27 p47;

param CIM :=
m1 2216.13
m2 16621.00
m3 5540.33
m4 2216.13
m5 16621.00
m6 5540.33
;

param CVM :=
m1 20920
m2 156900
m3 52300
m4 20920
m5 156900
m6 52300
;

param FCAP :=
m1 4
m2 31
m3 10
m4 4
m5 31
m6 10
;

param TT1 :=
j1 1
j2 4
;

param TT3 :=
j1 1
j2 4
;

param U1 :=
c1 m1 j1 1358
c1 m2 j1 3394
c1 m3 j1 3394
c1 m4 j1 3786
c1 m5 j1 4569
c1 m6 j1 4569
c2 m1 j1 3394
c2 m2 j1 261
c2 m3 j1 3394
c2 m4 j1 3786
c2 m5 j1 4569
c2 m6 j1 4569
c3 m1 j1 2402
c3 m2 j1 2611
c3 m3 j1 3786
c3 m4 j1 3786
c3 m5 j1 4569
c3 m6 j1 4569
c4 m1 j1 2141
c4 m2 j1 2376
c4 m3 j1 3786
c4 m4 j1 3786
c4 m5 j1 4569
c4 m6 j1 4569
c1 m1 j2 796
c1 m2 j2 796
c1 m3 j2 796
c1 m4 j2 1432
c1 m5 j2 1611
c1 m6 j2 1611
c2 m1 j2 796
c2 m2 j2 200
c2 m3 j2 796
c2 m4 j2 1432
c2 m5 j2 1611
c2 m6 j2 1611
c3 m1 j2 796
c3 m2 j2 796
c3 m3 j2 1432
c3 m4 j2 1432
c3 m5 j2 1611
c3 m6 j2 1611
c4 m1 j2 796
c4 m2 j2 796
c4 m3 j2 1432
c4 m4 j2 1432
c4 m5 j2 1611
c4 m6 j2 1611
;

param U3 :=
m1 h1 j1 2574
m1 h2 j1 2574
m1 h3 j1 3922
m1 h4 j1 2574
m2 h1 j1 3922
m2 h2 j1 539
m2 h3 j1 2574
m2 h4 j1 2574
m3 h1 j1 3922
m3 h2 j1 3922
m3 h3 j1 3922
m3 h4 j1 3922
m4 h1 j1 3922
m4 h2 j1 3922
m4 h3 j1 3922
m4 h4 j1 3922
m5 h1 j1 3922
m5 h2 j1 3922
m5 h3 j1 3922
m5 h4 j1 3922
m6 h1 j1 3922
m6 h2 j1 3922
m6 h3 j1 3922
m6 h4 j1 3922
m1 h1 j2 739
m1 h2 j2 739
m1 h3 j2 739
m1 h4 j2 739
m2 h1 j2 739
m2 h2 j2 244
m2 h3 j2 739
m2 h4 j2 739
m3 h1 j2 1426
m3 h2 j2 1426
m3 h3 j2 1426
m3 h4 j2 1426
m4 h1 j2 1426
m4 h2 j2 1426
m4 h3 j2 1426
m4 h4 j2 1426
m5 h1 j2 1507
m5 h2 j2 1507
m5 h3 j2 1507
m5 h4 j2 1426
m6 h1 j2 1507
m6 h2 j2 1507
m6 h3 j2 1507
m6 h4 j2 1507
;

param INC :=
p7 c1 1 1
p2 c3 2 1
p4 c4 6 1
p8 c2 8 1
p38 c3 9 1
p25 c4 10 1
p46 c3 12 1
p12 c3 13 1
p43 c2 15 1
p19 c1 17 1
p14 c4 19 1
p5 c2 20 1
p22 c1 25 1
p28 c3 25 1
p41 c3 30 1
p49 c1 31 1
p1 c4 33 1
p33 c4 34 1
p3 c2 35 1
p32 c4 36 1
p29 c2 37 1
p31 c2 39 1
p34 c3 41 1
p16 c3 45 1
p50 c3 45 1
p10 c2 47 1
p30 c3 54 1
p35 c3 55 1
p6 c1 56 1
p20 c1 56 1
p40 c4 56 1
p15 c4 62 1
p21 c2 62 1
p36 c4 62 1
p23 c4 64 1
p26 c4 67 1
p11 c1 68 1
p9 c2 69 1
p42 c3 69 1
p17 c1 70 1
p13 c4 71 1
p48 c3 71 1
p45 c4 73 1
p24 c4 74 1
p39 c2 75 1
p44 c4 76 1
p18 c1 78 1
p37 c4 81 1
p27 c1 85 1
p47 c3 90 1
;

param FMAX := 1 ;
param FMIN := 0 ;
param TAD := 0 ;
param TLS := 1 ;
