# Auto-generated large-scale trimester data
# 500 patients over 90-day trimester, time horizon 120

set c := c1 c2 c3 c4;
set h := h1 h2 h3 h4;
set j := j1 j2;
set m := m1 m2 m3 m4 m5 m6;
set p := p229 p417 p162 p179 p32 p300 p149 p387 p427 p288 p364 p183 p223 p21 p494 p3 p15 p459 p479 p433 p14 p102 p470 p235 p500 p49 p341 p63 p443 p416 p440 p133 p261 p285 p411 p320 p297 p317 p266 p314 p326 p319 p100 p188 p232 p141 p221 p485 p62 p106 p194 p234 p330 p332 p376 p237 p281 p369 p429 p230 p363 p84 p54 p67 p191 p343 p192 p328 p289 p42 p11 p16 p132 p412 p69 p253 p265 p254 p44 p284 p368 p41 p269 p449 p167 p8 p392 p396 p468 p157 p2 p134 p151 p395 p495 p184 p428 p218 p52 p336 p197 p245 p357 p374 p419 p439 p196 p129 p393 p118 p7 p275 p437 p116 p38 p174 p310 p398 p454 p135 p431 p33 p137 p325 p90 p422 p466 p75 p160 p176 p380 p456 p201 p298 p87 p291 p165 p457 p497 p460 p277 p329 p61 p481 p271 p311 p252 p272 p173 p209 p473 p23 p445 p78 p402 p351 p404 p17 p313 p110 p206 p39 p107 p243 p295 p371 p97 p6 p478 p28 p128 p220 p228 p472 p65 p101 p233 p477 p18 p226 p68 p189 p290 p334 p354 p187 p239 p455 p5 p89 p249 p377 p270 p338 p119 p219 p447 p280 p464 p410 p147 p117 p373 p421 p122 p202 p302 p350 p394 p163 p355 p407 p499 p48 p496 p93 p105 p465 p154 p399 p80 p37 p278 p486 p31 p71 p415 p4 p240 p484 p379 p304 p400 p66 p158 p56 p312 p169 p390 p383 p360 p441 p186 p210 p476 p109 p349 p353 p318 p362 p103 p181 p99 p461 p493 p418 p483 p236 p222 p403 p36 p40 p156 p268 p46 p375 p475 p487 p45 p77 p257 p450 p444 p185 p74 p442 p59 p127 p214 p378 p434 p175 p76 p53 p469 p70 p43 p143 p299 p92 p301 p142 p113 p356 p126 p482 p490 p211 p267 p335 p104 p296 p458 p462 p251 p259 p292 p452 p27 p344 p13 p205 p305 p425 p258 p414 p35 p139 p124 p276 p438 p159 p256 p381 p282 p215 p423 p29 p217 p274 p161 p361 p365 p50 p474 p115 p303 p72 p145 p91 p279 p260 p250 p199 p471 p248 p294 p322 p193 p293 p309 p409 p182 p242 p131 p112 p166 p19 p171 p323 p164 p372 p408 p489 p130 p238 p327 p216 p348 p146 p178 p386 p203 p324 p121 p153 p273 p370 p51 p195 p88 p492 p177 p10 p26 p382 p207 p287 p244 p316 p432 p225 p389 p397 p55 p283 p148 p200 p424 p436 p22 p426 p307 p451 p96 p120 p337 p190 p347 p367 p108 p246 p247 p60 p125 p321 p346 p498 p123 p315 p339 p435 p30 p227 p12 p224 p331 p140 p144 p180 p340 p85 p401 p47 p20 p172 p204 p384 p453 p58 p342 p366 p57 p231 p136 p168 p1 p73 p413 p86 p94 p170 p406 p420 p114 p83 p155 p359 p264 p488 p213 p385 p286 p111 p263 p24 p345 p198 p255 p391 p64 p308 p480 p241 p358 p79 p463 p212 p352 p388 p448 p9 p333 p262 p491 p405 p82 p98 p138 p150 p446 p152 p430 p95 p208 p25 p81 p34 p306 p467;

param CIM :=
m1 2216.13
m2 16621.00
m3 5540.33
m4 2216.13
m5 16621.00
m6 5540.33
;

param CVM :=
m1 20920
m2 156900
m3 52300
m4 20920
m5 156900
m6 52300
;

param FCAP :=
m1 4
m2 31
m3 10
m4 4
m5 31
m6 10
;

param TT1 :=
j1 1
j2 2
;

param TT3 :=
j1 1
j2 2
;

param U1 :=
c1 m1 j1 1040
c1 m2 j1 2600
c1 m3 j1 2600
c1 m4 j1 2900
c1 m5 j1 3500
c1 m6 j1 3500
c2 m1 j1 2600
c2 m2 j1 200
c2 m3 j1 2600
c2 m4 j1 2900
c2 m5 j1 3500
c2 m6 j1 3500
c3 m1 j1 1840
c3 m2 j1 2000
c3 m3 j1 2900
c3 m4 j1 2900
c3 m5 j1 3500
c3 m6 j1 3500
c4 m1 j1 1640
c4 m2 j1 1820
c4 m3 j1 2900
c4 m4 j1 2900
c4 m5 j1 3500
c4 m6 j1 3500
c1 m1 j2 520
c1 m2 j2 520
c1 m3 j2 520
c1 m4 j2 936
c1 m5 j2 1053
c1 m6 j2 1053
c2 m1 j2 520
c2 m2 j2 100
c2 m3 j2 520
c2 m4 j2 936
c2 m5 j2 1053
c2 m6 j2 1053
c3 m1 j2 520
c3 m2 j2 520
c3 m3 j2 936
c3 m4 j2 936
c3 m5 j2 1053
c3 m6 j2 1053
c4 m1 j2 520
c4 m2 j2 520
c4 m3 j2 936
c4 m4 j2 936
c4 m5 j2 1053
c4 m6 j2 1053
;

param U3 :=
m1 h1 j1 1910
m1 h2 j1 1910
m1 h3 j1 2910
m1 h4 j1 1910
m2 h1 j1 2910
m2 h2 j1 400
m2 h3 j1 1910
m2 h4 j1 1910
m3 h1 j1 2910
m3 h2 j1 2910
m3 h3 j1 2910
m3 h4 j1 2910
m4 h1 j1 2910
m4 h2 j1 2910
m4 h3 j1 2910
m4 h4 j1 2910
m5 h1 j1 2910
m5 h2 j1 2910
m5 h3 j1 2910
m5 h4 j1 2910
m6 h1 j1 2910
m6 h2 j1 2910
m6 h3 j1 2910
m6 h4 j1 2910
m1 h1 j2 910
m1 h2 j2 910
m1 h3 j2 910
m1 h4 j2 910
m2 h1 j2 910
m2 h2 j2 300
m2 h3 j2 910
m2 h4 j2 910
m3 h1 j2 1755
m3 h2 j2 1755
m3 h3 j2 1755
m3 h4 j2 1755
m4 h1 j2 1755
m4 h2 j2 1755
m4 h3 j2 1755
m4 h4 j2 1755
m5 h1 j2 1855
m5 h2 j2 1855
m5 h3 j2 1855
m5 h4 j2 1755
m6 h1 j2 1855
m6 h2 j2 1855
m6 h3 j2 1855
m6 h4 j2 1855
;

param INC :=
p229 c1 1 1
p417 c1 1 1
p162 c2 1 1
p179 c3 1 1
p32 c4 1 1
p300 c4 1 1
p149 c1 2 1
p387 c3 2 1
p427 c3 2 1
p288 c4 2 1
p364 c4 2 1
p183 c3 3 1
p223 c3 3 1
p21 c1 4 1
p494 c2 4 1
p3 c3 4 1
p15 c3 4 1
p459 c3 4 1
p479 c3 4 1
p433 c1 5 1
p14 c2 5 1
p102 c2 5 1
p470 c2 5 1
p235 c3 5 1
p500 c4 5 1
p49 c1 6 1
p341 c1 6 1
p63 c3 6 1
p443 c3 6 1
p416 c4 6 1
p440 c4 6 1
p133 c1 7 1
p261 c1 7 1
p285 c1 7 1
p411 c3 7 1
p320 c4 7 1
p297 c1 8 1
p317 c1 8 1
p266 c2 8 1
p314 c2 8 1
p326 c2 8 1
p319 c3 8 1
p100 c4 8 1
p188 c4 8 1
p232 c4 8 1
p141 c1 9 1
p221 c1 9 1
p485 c1 9 1
p62 c2 9 1
p106 c2 9 1
p194 c2 9 1
p234 c2 9 1
p330 c2 9 1
p332 c4 9 1
p376 c4 9 1
p237 c1 10 1
p281 c1 10 1
p369 c1 10 1
p429 c1 10 1
p230 c2 10 1
p363 c3 10 1
p84 c4 10 1
p54 c2 11 1
p67 c3 11 1
p191 c3 11 1
