failure_rate,t_v2v_days,share_from_normal_wait_H,H_lost_fifo,H_lost_best_rule,cost_per_patient_MUSD
0.05,21,0.641,3.512,1.532,0.533
0.05,28,0.697,4.172,1.634,0.577
0.05,35,0.739,4.854,1.778,0.622
0.05,42,0.769,5.514,1.976,0.667
0.10,21,0.542,4.108,2.038,0.600
0.10,28,0.603,4.748,2.168,0.644
0.10,35,0.651,5.404,2.314,0.689
0.10,42,0.687,6.040,2.500,0.735
0.20,21,0.358,5.782,3.548,0.823
0.20,28,0.416,6.376,3.722,0.869
0.20,35,0.466,6.978,3.888,0.916
0.20,42,0.507,7.566,4.054,0.964
0.28,21,0.293,6.858,4.616,1.024
0.28,28,0.347,7.434,4.818,1.073
0.28,35,0.394,8.030,5.034,1.125
0.28,42,0.433,8.596,5.210,1.176
