total_cost,expected_lost,expected_lost_H,opened,capacity_opened,mean_HOLD,mean_HOLD_H,mean_HOLD_L,mean_TRT,status,gap,wall_s,n,CON1,mode,alpha,F0,time_limit_s,d_lives,d_cost,dollars_per_life
14909910.8,9.933227961605256,6.4682495364011,m1+m3,14,8.96,10.65,6.533333333333333,27.955,optimal,7.746525217107252e-05,211.49907898902893,200,2,network-fixed,0.0,m1+m3,900,,,
14908755.8,7.727376513513266,4.584045199290742,m1+m3,14,6.23,1.6,14.05,25.23,optimal,1.307424362115472e-07,58.596521854400635,200,2,network-fixed,100.0,m1+m3,900,0.06055885846198805,-1261.0,-20822.71746901425
14910016.8,7.787935371975254,4.587633469578975,m1+m3,14,6.59,1.6166666666666667,14.683333333333334,25.59,optimal,9.311453302221652e-05,39.86090588569641,200,2,network-fixed,1000.0,m1+m3,900,2.145292589630002,106.0,49.410509555846545
14910419.8,7.494585957253914,4.2708997937304,m1+m3,14,6.215,0.08333333333333333,14.6,25.215,optimal,3.253485605014652e-05,57.69722533226013,200,2,network-fixed,10000.0,m1+m3,900,0.23279055625935197,1664.0,7148.05629033395
14954991.8,7.231807310260541,4.17005239411354,m1+m3,14,5.45,0.03333333333333333,14.066666666666666,24.28,optimal,6.303777887746068e-05,281.23772287368774,200,2,network-fixed,100000.0,m1+m3,900,0.2627786469933735,44572.0,169618.0435890743
15255654.8,6.7298963186627265,3.8488017038510733,m1+m3,14,5.33,0.0,14.466666666666667,23.08,optimal,7.636374804068896e-05,53.41937327384949,200,2,network-fixed,1000000.0,m1+m3,900,0.5019109915978142,300663.0,599036.4925917463
15314891.8,6.712320900153725,3.837939295314877,m1+m3,14,5.415,0.016666666666666666,14.55,22.94,optimal,5.574007745304816e-05,71.25897073745728,200,2,network-fixed,10000000.0,m1+m3,900,0.017575418509001572,59237.0,3370446.0562154287
14908755.8,9.880341904812953,6.3308279679419694,m1+m3,14,9.34,9.966666666666667,7.8,28.34,optimal,0.0,579.0809755325317,200,2,network-free,0.0,m1+m3,900,,,
14908755.8,7.726738334685263,4.584045199290742,m1+m3,14,6.215,1.6,13.983333333333333,25.215,optimal,3.1418714405945785e-07,128.37954926490784,200,2,network-free,100.0,m1+m3,900,0.06409044261276087,-1261.0,-19675.320509472123
14910016.8,7.790828777298024,4.587633469578975,m1+m3,14,6.58,1.6166666666666667,14.566666666666666,25.58,optimal,9.5003197853072e-05,140.72808980941772,200,2,network-free,1000.0,m1+m3,900,2.0895131275149295,1261.0,603.4898672781802
14911419.8,7.494793298897011,4.260148840842557,m1+m3,14,6.225,0.03333333333333333,14.483333333333333,25.22,optimal,9.988628347912635e-05,120.70381164550781,200,2,network-free,10000.0,m1+m3,900,0.23194503578825199,2664.0,11485.479699733809
14953836.8,7.2383483845068,4.170052394113541,m1+m3,14,5.455,0.03333333333333333,13.95,24.29,optimal,9.884754269776591e-05,276.46746706962585,200,2,network-free,100000.0,m1+m3,900,0.2564449143902108,42417.0,165403.9429904919
15256057.8,6.73470978555422,3.8379532609546336,m1+m3,14,5.385,0.0,14.466666666666667,23.135,optimal,1.6403564621139646e-05,1062.865935087204,200,2,network-free,1000000.0,m1+m3,900,0.5036385989525796,302221.0,600075.1344883632
20120877.8,6.038250039821772,3.8198725227939008,m3+m6,20,0.67,0.0,2.216666666666667,17.82,optimal,9.987847483385975e-05,138.84551978111267,200,2,network-free,10000000.0,m1+m3,900,0.6964597457324482,4864820.0,6985069.890699567
