n,k_facilities,network,capacity,time_limit_s,cost_total_cost,cost_expected_lost,cost_expected_lost_H,cost_opened,cost_capacity_opened,cost_mean_HOLD,cost_mean_HOLD_H,cost_mean_HOLD_L,cost_mean_TRT,cost_status,cost_gap,cost_wall_s,survival_total_cost,survival_expected_lost,survival_expected_lost_H,survival_opened,survival_capacity_opened,survival_mean_HOLD,survival_mean_HOLD_H,survival_mean_HOLD_L,survival_mean_TRT,survival_status,survival_gap,survival_wall_s,lives_saved_by_scheduling,lives_saved_high_risk,both_optimal
200,2,m1+m3,14,900,14909910.8,9.933227961605256,6.4682495364011,m1+m3,14,8.96,10.65,6.533333333333333,27.955,optimal,7.746525217107252e-05,238.02749300003052,14954991.8,7.231807310260541,4.17005239411354,m1+m3,14,5.45,0.03333333333333333,14.066666666666666,24.28,optimal,6.303777887746068e-05,310.5159001350403,2.7014206513447157,2.2981971422875596,True
200,4,m1+m3+m4+m6,28,900,25436956.6,9.236595349752342,6.197267179108908,m1+m3+m4+m6,28,6.39,9.3,4.55,25.39,optimal,4.957354057049419e-05,264.39640617370605,25479277.6,6.605707069327386,4.144823046655855,m1+m3+m4+m6,28,0.835,0.0,2.7666666666666666,19.685,optimal,9.933571788209465e-08,29.955074071884155,2.630888280424956,2.0524441324530533,True
200,3,m1+m2+m3,45,900,37287069.8,7.67653102673169,4.877694992465768,m1+m2+m3,45,3.22,2.9833333333333334,3.1,22.22,optimal,0.0,53.1509747505188,37342749.8,6.3215702763328325,3.9789830186083552,m1+m2+m3,45,0.0,0.0,0.0,18.46,optimal,5.5634681126812744e-05,9.408138513565063,1.3549607503988579,0.898711973857413,True
200,5,m1+m2+m3+m4+m6,59,900,47814009.599999994,7.671020358429186,4.829031436606175,m1+m2+m3+m4+m6,59,3.0,2.7333333333333334,1.2666666666666666,22.0,optimal,1.5582421677775018e-16,53.58207964897156,47869689.599999994,6.3215702763328325,3.9789830186083552,m1+m2+m3+m4+m6,59,0.0,0.0,0.0,18.46,optimal,5.175987483916785e-05,8.054243803024292,1.3494500820963538,0.8500484179978196,True
200,4,m1+m2+m3+m5,76,900,59844799.8,7.166356557752061,4.559795096458598,m1+m2+m3+m5,76,1.615,1.4666666666666666,1.2333333333333334,20.615,optimal,0.0,51.95748472213745,59900479.8,6.3215702763328325,3.9789830186083552,m1+m2+m3+m5,76,0.0,0.0,0.0,18.46,optimal,3.9477900464021186e-05,6.383123159408569,0.8447862814192284,0.5808120778502426,True
200,6,m1+m2+m3+m4+m5+m6,90,900,70372739.6,7.792489711397933,5.0507859472243135,m1+m2+m3+m4+m5+m6,90,3.24,3.8333333333333335,3.1166666666666667,22.235,optimal,1.421004789189705e-05,73.03995680809021,70427419.6,6.3215702763328325,3.9789830186083552,m1+m2+m3+m4+m5+m6,90,0.0,0.0,0.0,18.46,optimal,3.610727779441267e-05,8.594912052154541,1.4709194350651007,1.0718029286159583,True
500,2,m2+m3,41,900,40606732.9,25.43724396593949,16.909717771677265,m2+m3,41,8.844,12.093333333333334,4.726666666666667,27.842,optimal,2.0809356962574056e-05,291.1873354911804,40800365.9,16.52464320644012,9.968986844636678,m2+m3,41,2.776,0.0,9.02,21.274,optimal,1.9555148064422368e-05,79.54505968093872,8.91260075949937,6.940730927040587,True
500,4,m1+m2+m3+m6,55,900,51109912.699999996,22.389518484219355,14.464171489824318,m1+m2+m3+m6,55,6.456,7.333333333333333,5.093333333333334,25.456,optimal,0.0,638.087751865387,51291371.699999996,16.281761317435116,9.976302933739511,m1+m2+m3+m6,55,1.846,0.0,6.12,20.334,optimal,1.2950026571723284e-05,156.43968391418457,6.107757166784239,4.487868556084807,True
500,3,m1+m2+m5,66,900,58629156.9,22.60090321194667,14.532815788670137,m1+m2+m5,66,6.772,7.486666666666666,5.24,25.772,optimal,0.0,766.7524025440216,58821050.9,16.35083354610349,9.987123445356435,m1+m2+m5,66,2.104,0.0,6.973333333333334,20.592,optimal,9.492412156962703e-06,101.9171552658081,6.250069665843178,4.545692343313702,True
500,5,m1+m2+m3+m4+m5,80,900,71085066.69999999,14.880779577114245,9.549681306984763,m1+m2+m3+m4+m5,80,0.0,0.0,0.0,17.0,feasible,0.027136079201286384,909.843850851059,69337524.69999999,16.262317944151576,9.979891150092147,m1+m2+m3+m4+m5,80,1.768,0.0,5.88,20.254,optimal,4.188636041612433e-07,155.9668140411377,-1.3815383670373311,-0.4302098431073844,False
500,6,m1+m2+m3+m4+m5+m6,90,900,77964609.6,15.328591472559523,9.820892379395758,m1+m2+m3+m4+m5+m6,90,0.0,0.0,0.0,17.532,feasible,0.01653660560367874,913.946405172348,76856767.6,16.262307942305004,9.979891150092147,m1+m2+m3+m4+m5+m6,90,1.768,0.0,5.88,20.254,optimal,1.0950400611238257e-06,162.16716313362122,-0.9337164697454803,-0.1589987706963889,False
