n,scenario,design,alpha,ND,status,mip_gap,wall_s,opened,capacity_opened,transport_cost,quality_control,manufacturing,facility_cost,material_cost,total_cost,cost_per_therapy,mean_return_time,max_return_time,mean_HOLD,mean_survival,expected_lost
500,Scenario 1,cost,0.0,18,infeasible,,7.8,,,,,,,,,,,,,,
500,Scenario 1,cost,0.0,22,optimal,0.0,18.0,m2+m5,62,764958.0,4656000.0,50353460.0,45115460.0,5238000.0,55774418.0,111548.84,20.516,23,1.516,0.96401,17.993
500,Scenario 1,cost,0.0,26,optimal,0.0,35.5,m2+m5,62,742910.0,4656000.0,50353460.0,45115460.0,5238000.0,55752370.0,111504.74,21.108,27,2.108,0.96273,18.636
500,Scenario 1,cost,0.0,30,optimal,0.0,92.2,m2+m3,41,673685.0,4656000.0,35314972.9,30076972.9,5238000.0,40644657.9,81289.32,22.794,31,3.794,0.95882,20.592
500,Scenario 1,cost,0.0,34,optimal,0.0,238.0,m2+m3,41,661855.0,4656000.0,35314972.9,30076972.9,5238000.0,40632827.9,81265.66,24.048,35,5.048,0.95681,21.596
500,Scenario 1,cost,0.0,38,optimal,0.0,524.0,m1+m2,35,612000.0,4656000.0,30803426.9,25565426.9,5238000.0,36071426.9,72142.85,25.306,39,6.306,0.95482,22.59
500,Scenario 1,cost,0.0,42,optimal,0.0,592.2,m1+m2,35,612000.0,4656000.0,30803426.9,25565426.9,5238000.0,36071426.9,72142.85,25.77,42,6.77,0.954,22.998
500,Scenario 2,survival,100000.0,18,infeasible,,7.6,,,,,,,,,,,,,,
500,Scenario 2,survival,100000.0,22,optimal,2.923284546492639e-05,20.2,m2+m5,62,899222.0,4656000.0,50353460.0,45115460.0,5238000.0,55908682.0,111817.36,18.906,23,0.374,0.96791,16.045
500,Scenario 2,survival,100000.0,26,optimal,8.130994619801037e-05,41.0,m2+m5,62,897269.0,4656000.0,50353460.0,45115460.0,5238000.0,55906729.0,111813.46,19.088,27,0.562,0.9679,16.052
500,Scenario 2,survival,100000.0,30,optimal,1.3445884635799626e-05,87.3,m2+m3,41,852553.0,4656000.0,35314972.9,30076972.9,5238000.0,40823525.9,81647.05,20.786,31,2.304,0.96681,16.597
500,Scenario 2,survival,100000.0,34,optimal,8.974121792957949e-06,121.2,m2+m3,41,854021.0,4656000.0,35314972.9,30076972.9,5238000.0,40824993.9,81649.99,20.816,35,2.338,0.96712,16.442
500,Scenario 2,survival,100000.0,38,optimal,4.384408862886655e-05,512.2,m1+m2,35,761280.0,4656000.0,30803426.9,25565426.9,5238000.0,36220706.9,72441.41,23.838,39,5.354,0.96471,17.645
500,Scenario 2,survival,100000.0,42,optimal,7.781842749054004e-05,1959.7,m1+m2,35,766520.0,4656000.0,30803426.9,25565426.9,5238000.0,36225946.9,72451.89,23.774,42,5.312,0.96506,17.471
