fail_rate,policy,expected_lost_H,expected_lost_H_se,expected_lost,expected_lost_se,weighted_loss,weighted_loss_se,total_cost,total_cost_se,cost_per_therapy,cost_per_therapy_se,mean_hold_H,mean_hold_M,mean_hold_L,treated,lost,failures,recollections,spillover,spillover_share,lost_gate_recollection,lost_k_remake,lost_backstop,idle_slot_days,n_rep
0.0,fifo,2.2270482569617176,0.0,3.488110713553415,0.0,8.90225505831093,0.0,8320819.8,0.0,83208.198,0.0,2.966666666666667,1.975,1.9666666666666666,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
0.0,static_survival,1.9387817564867802,0.0,3.195397708100164,0.0,7.961724431131349,0.0,8320819.8,0.0,83208.198,0.0,0.26666666666666666,0.475,6.666666666666667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
0.0,adaptive_mpc,1.9387817564867802,0.0,3.1953724995575743,0.0,7.96169922258876,0.0,8320819.8,0.0,83208.198,0.0,0.26666666666666666,0.475,6.666666666666667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
0.05,fifo,2.429097752960153,0.027003686502295995,3.7938865795620993,0.03659843507111678,9.687394310151172,0.09716178647763087,8451277.4,9944.037178428962,84512.774,99.44037178428957,4.05,2.9099999999999997,2.9266666666666667,100.0,0.0,5.0,5.0,0.2,0.002,0.0,0.0,0.0,0.0,30
0.05,static_survival,2.166841988328265,0.04104240335628546,3.5210249895552628,0.04587317656856308,8.809312266024737,0.1302916111676867,8450257.466666667,9991.777783014117,84530.93135959595,101.16242055111485,1.4244444444444444,1.2241666666666666,7.873333333333333,99.96666666666667,0.03333333333333333,5.0,4.966666666666667,0.03333333333333333,0.0003333333333333333,0.03333333333333333,0.0,0.0,0.0,30
0.05,adaptive_mpc,2.0604420585051124,0.015927961038251462,3.419834968221102,0.023347028555863448,8.486798704450996,0.057890362955501734,8451277.4,9944.037178428962,84512.774,99.44037178428957,0.5722222222222223,1.0291666666666666,8.846666666666666,100.0,0.0,5.0,5.0,0.13333333333333333,0.0013333333333333333,0.0,0.0,0.0,0.0,30
0.1,fifo,2.6757030264724455,0.044476131559256955,4.193239037000278,0.06578438105251103,10.672068359293098,0.1617366088053729,8587641.200000001,15358.768095699317,85905.20463905724,153.94422560533454,5.3533333333333335,4.041666666666667,4.232222222222222,99.96666666666667,0.03333333333333333,10.233333333333333,10.2,0.6333333333333333,0.006333333333333333,0.0,0.03333333333333333,0.0,0.0,30
0.1,static_survival,2.451966401754956,0.07448899920141064,3.9635838504869976,0.08489681719909438,9.925723026051148,0.23445879785290005,8584692.066666668,14720.323920015875,85963.26005791246,170.39648103910747,2.7666666666666666,2.6525000000000003,8.732222222222221,99.86666666666666,0.13333333333333333,10.233333333333333,10.1,0.5333333333333333,0.005333333333333333,0.1,0.03333333333333333,0.0,0.0,30
0.1,adaptive_mpc,2.1922984038618107,0.02363656677227814,3.7027760084006425,0.04269021808809071,9.093163901450373,0.08283698568159327,8587641.200000001,15358.768095699317,85905.20463905724,153.94422560533454,0.7522222222222222,1.4766666666666666,12.375555555555556,99.96666666666667,0.03333333333333333,10.233333333333333,10.2,0.5,0.005,0.0,0.03333333333333333,0.0,0.0,30
0.15,fifo,3.0682954062822048,0.08452560385117366,4.732710804772823,0.10453562779512282,12.109684010401127,0.2824577459152472,8738838.933333334,18414.185228618448,87536.11479124581,203.52532352418433,7.088888888888889,5.466666666666667,5.792222222222223,99.83333333333333,0.16666666666666666,16.166666666666668,16.0,1.4333333333333333,0.014333333333333333,0.03333333333333333,0.13333333333333333,0.0,0.0,30
