design,tier,n,alpha_tier,w_risk,mean_TRT,mean_HOLD,median_HOLD,max_HOLD,mean_survival,expected_lost,weighted_loss,n_patients_total
baseline_N100,H,30,1500000.0,0.15,18.0,0.0,0.0,0,0.9327193103212882,2.018420690361351,6.055262071084053,100
baseline_N100,M,40,1000000.0,0.05,18.0,0.0,0.0,0,0.9782570213556896,0.8697191457724163,1.7394382915448325,100
baseline_N100,L,30,500000.0,0.02,18.0,0.0,0.0,0,0.9913790720242441,0.25862783927267596,0.25862783927267596,100
baseline_N100,ALL,100,,,18.0,0.0,0.0,0,0.9685323232459356,3.1467676754064438,8.053328201901554,100
baseline_N200,H,60,1500000.0,0.15,18.0,0.0,0.0,0,0.9327193103212882,4.036841380722702,12.110524142168124,200
baseline_N200,M,80,1000000.0,0.05,18.0,0.0,0.0,0,0.9782570213556896,1.7394382915448325,3.478876583089665,200
baseline_N200,L,60,500000.0,0.02,18.0,0.0,0.0,0,0.9913790720242441,0.5172556785453519,0.5172556785453519,200
baseline_N200,ALL,200,,,18.0,0.0,0.0,0,0.9685323232459356,6.29353535081288,16.10665640380311,200
baseline_N500,H,150,1500000.0,0.15,18.0,0.0,0.0,0,0.9327193103212882,10.092103451806729,30.276310355420364,500
baseline_N500,M,200,1000000.0,0.05,18.0,0.0,0.0,0,0.9782570213556896,4.348595728862057,8.697191457724115,500
baseline_N500,L,150,500000.0,0.02,18.0,0.0,0.0,0,0.9913790720242442,1.2931391963633798,1.2931391963633798,500
baseline_N500,ALL,500,,,18.0,0.0,0.0,0,0.9685323232459355,15.73383837703214,40.266641009507815,500
