n,design,max_facilities,tier,n_patients,mean_hold,p50,p90,max,share_hold_0,distribution
100,cost,2,H,30,1.533,0.0,0.0,24,0.9333,"{""0"": 28, ""22"": 1, ""24"": 1}"
100,cost,2,M,40,2.375,0.0,5.0,23,0.675,"{""0"": 27, ""1"": 6, ""3"": 2, ""4"": 1, ""14"": 1, ""21"": 2, ""23"": 1}"
100,cost,2,L,30,10.833,8.5,23.0,23,0.1667,"{""0"": 5, ""1"": 4, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""8"": 1, ""9"": 1, ""11"": 2, ""17"": 1, ""20"": 1, ""22"": 1, ""23"": 9}"
100,survival,2,H,30,0.0,0.0,0.0,0,1.0,"{""0"": 30}"
100,survival,2,M,40,0.35,0.0,1.0,6,0.875,"{""0"": 35, ""1"": 2, ""2"": 1, ""4"": 1, ""6"": 1}"
100,survival,2,L,30,8.967,4.0,23.0,23,0.2,"{""0"": 6, ""1"": 3, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 1, ""11"": 1, ""13"": 1, ""14"": 1, ""17"": 1, ""19"": 1, ""22"": 1, ""23"": 6}"
200,cost,2,H,60,1.6,0.0,1.0,23,0.85,"{""0"": 51, ""1"": 5, ""22"": 1, ""23"": 3}"
200,cost,2,M,80,3.837,0.0,18.1,23,0.55,"{""0"": 44, ""1"": 5, ""2"": 5, ""3"": 5, ""4"": 4, ""5"": 2, ""6"": 1, ""7"": 1, ""8"": 1, ""11"": 1, ""13"": 1, ""16"": 1, ""18"": 1, ""19"": 1, ""20"": 1, ""21"": 2, ""22"": 1, ""23"": 3}"
200,cost,2,L,60,13.983,20.5,23.0,23,0.1833,"{""0"": 11, ""1"": 4, ""2"": 2, ""7"": 1, ""8"": 2, ""9"": 3, ""10"": 1, ""11"": 1, ""13"": 1, ""15"": 1, ""19"": 1, ""20"": 2, ""21"": 6, ""22"": 5, ""23"": 19}"
200,survival,2,H,60,0.033,0.0,0.0,1,0.9667,"{""0"": 58, ""1"": 2}"
200,survival,2,M,80,3.138,0.0,13.2,23,0.6125,"{""0"": 49, ""1"": 8, ""2"": 4, ""3"": 3, ""5"": 3, ""6"": 1, ""8"": 1, ""13"": 3, ""15"": 1, ""16"": 2, ""21"": 1, ""22"": 2, ""23"": 2}"
200,survival,2,L,60,13.95,20.5,23.0,23,0.1833,"{""0"": 11, ""1"": 4, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""18"": 1, ""19"": 1, ""20"": 1, ""21"": 3, ""22"": 3, ""23"": 24}"
500,cost,3,H,150,0.013,0.0,0.0,1,0.9867,"{""0"": 148, ""1"": 2}"
500,cost,3,M,200,3.61,0.0,22.0,23,0.67,"{""0"": 134, ""1"": 14, ""2"": 10, ""3"": 3, ""4"": 2, ""6"": 2, ""7"": 1, ""8"": 4, ""9"": 2, ""11"": 1, ""15"": 2, ""18"": 1, ""19"": 1, ""21"": 1, ""22"": 3, ""23"": 19}"
500,cost,3,L,150,14.847,21.0,23.0,23,0.1733,"{""0"": 26, ""1"": 9, ""2"": 1, ""4"": 4, ""5"": 2, ""6"": 1, ""7"": 2, ""9"": 4, ""13"": 2, ""14"": 4, ""15"": 5, ""16"": 4, ""17"": 5, ""18"": 1, ""19"": 1, ""20"": 3, ""21"": 5, ""22"": 7, ""23"": 64}"
500,survival,3,H,150,0.0,0.0,0.0,0,1.0,"{""0"": 150}"
500,survival,3,M,200,2.625,0.0,9.1,24,0.725,"{""0"": 145, ""1"": 16, ""2"": 3, ""3"": 3, ""4"": 2, ""5"": 1, ""7"": 5, ""8"": 1, ""9"": 4, ""10"": 1, ""15"": 2, ""16"": 2, ""17"": 2, ""20"": 1, ""22"": 1, ""23"": 10, ""24"": 1}"
