alpha,status,requested_sweep,mip_gap,opened,capacity_opened,total_cost,facility_cost,transport_cost,expected_lost,expected_lost_H,expected_lost_M,expected_lost_L,weighted_loss,mean_TRT,mean_HOLD,mean_HOLD_H,mean_HOLD_L,wall_s
1.0,optimal,True,0.0,m1+m3,14,14908755.8,10526939.8,424216.0,7.7256,4.5841,2.1977,0.9438,19.0915,25.21,6.21,1.6,13.983,7.9
2,optimal,True,0.0,m1+m3,14,14908755.8,10526939.8,424216.0,7.7495,4.5876,2.2285,0.9333,19.1533,25.235,6.235,1.617,13.617,5.9
5,optimal,True,0.0,m1+m3,14,14908755.8,10526939.8,424216.0,7.7542,4.5733,2.2271,0.9537,19.128,25.425,6.425,1.55,14.333,8.3
10,optimal,True,0.0,m1+m3,14,14908755.8,10526939.8,424216.0,7.7339,4.5841,2.2108,0.9391,19.1129,25.215,6.215,1.6,13.817,6.2
50,optimal,True,0.0,m1+m3,14,14908755.8,10526939.8,424216.0,7.7254,4.584,2.1976,0.9438,19.0911,25.21,6.21,1.6,13.983,13.9
100.0,optimal,False,0.0,m1+m3,14,14908755.8,10526939.8,424216.0,7.763,4.5805,2.232,0.9505,19.1561,25.42,6.42,1.583,14.217,18.6
1000.0,optimal,False,0.0,m1+m3,14,14908755.8,10526939.8,424216.0,7.7255,4.5841,2.1977,0.9438,19.0913,25.21,6.21,1.6,13.983,8.7
10000.0,optimal,False,1e-06,m1+m3,14,14910419.8,10526939.8,425880.0,7.4884,4.2601,2.265,0.9632,18.2738,25.23,6.23,0.033,14.667,18.1
100000.0,optimal,False,0.0,m1+m3,14,14953836.8,10526939.8,469297.0,7.234,4.1665,2.1256,0.9419,17.6925,24.285,5.45,0.033,13.95,17.3
1000000.0,optimal,False,1e-06,m1+m3,14,15257688.8,10526939.8,773149.0,6.734,3.838,1.9499,0.9461,16.3598,23.135,5.39,0.0,14.483,18.4
10000000.0,optimal,False,1e-06,m3+m6,20,20113864.8,15038485.8,1117779.0,6.0373,3.8199,1.657,0.5605,15.334,17.81,0.655,0.0,2.167,31.5
