d_days,sigma_H,sigma_M,sigma_L
17,0.9363354579534351,0.9794524660769177,0.9918560567632463
18,0.9327193103212883,0.9782570213556896,0.9913790720242441
19,0.9291171283288986,0.9770630357027992,0.9909023166677616
20,0.9255288580406654,0.9758705073374193,0.9904257905834881
21,0.9219544457292888,0.9746794344808963,0.9899494936611666
22,0.9183938378749646,0.9734898153567476,0.9894734257905925
23,0.9148469811645837,0.9723016481906586,0.9889975868616149
24,0.911313822490933,0.9711149312104803,0.9885219767641353
25,0.9077943089519006,0.969929662646227,0.9880465953881086
26,0.9042883878496838,0.968745840730073,0.987571442623542
27,0.90079600669,0.9675634636963503,0.9870965183604964
28,0.8973171131813007,0.9663825297815459,0.9866218224890848
29,0.893851655233988,0.9652030372242995,0.9861473548994737
30,0.8903995809596358,0.9640249842654002,0.9856731154818819
31,0.8869608386702118,0.9628483691477845,0.9851991041265813
32,0.8835353768773042,0.9616731901165334,0.9847253207238964
33,0.8801231442913503,0.9604994454188697,0.9842517651642047
34,0.876724089820869,0.9593271333041556,0.9837784373379359
35,0.8733381625716956,0.9581562520238902,0.9833053371355731
36,0.8699653118462198,0.9569867998317062,0.9828324644476516
37,0.8666054871426262,0.9558187749833682,0.9823598191647592
38,0.863258638154139,0.9546521757367695,0.9818874011775368
39,0.8599247147682678,0.9534870003519298,0.9814152103766777
40,0.8566036670660581,0.9523232470909923,0.9809432466529274
41,0.8532954453213432,0.9511609142182214,0.9804715098970846
42,0.85,0.95,0.98
