day,facility,free_slots,n_start,n_waiting,contested,fifo,survival_index,adaptive_mpc,agree_index_vs_mpc,agree_fifo_vs_mpc,obj_mpc_choice,obj_index_choice
3,m1,4,2,2,False,p7r0|p7r3,p7r0|p7r3,p7r0|p7r3,True,True,,
3,m3,10,1,1,False,p2r2,p2r2,p2r2,True,True,,
4,m3,9,1,1,False,p2r1,p2r1,p2r1,True,True,,
5,m1,2,1,1,False,p7r1,p7r1,p7r1,True,True,,
5,m3,8,2,2,False,p2r0|p2r3,p2r0|p2r3,p2r0|p2r3,True,True,,
6,m3,6,3,3,False,p4r1|p7r2|p8r0,p4r1|p7r2|p8r0,p4r1|p7r2|p8r0,True,True,,
7,m1,1,1,1,False,p38r0,p38r0,p38r0,True,True,,
7,m3,3,1,1,False,p8r1,p8r1,p8r1,True,True,,
8,m3,2,2,3,True,p4r2|p4r3,p4r2|p8r2,p4r3|p8r2,False,False,0.10363618510501893,0.10363618510501893
10,m1,2,2,2,False,p25r2|p4r0,p25r2|p4r0,p25r2|p4r0,True,True,,
10,m3,1,1,3,True,p4r2,p12r1,p12r1,True,False,,
11,m3,1,1,6,True,p4r2,p8r3,p8r3,True,False,,
12,m1,1,1,2,True,p25r3,p12r0,p12r0,True,False,,
12,m3,2,2,9,True,p25r1|p4r2,p43r1|p43r2,p43r2|p43r3,False,False,0.08320948803467454,0.08320948803467454
13,m3,3,3,10,True,p25r1|p38r1|p4r2,p43r1|p46r0|p46r1,p43r1|p46r0|p46r1,True,False,,
14,m1,1,1,3,True,p25r3,p12r3,p46r3,False,False,0.028022493473852217,0.028022493473852217
14,m3,1,1,9,True,p4r2,p12r2,p19r0,False,False,0.05886875199206387,0.05886875199206387
15,m3,2,2,9,True,p25r1|p4r2,p12r2|p19r2,p12r2|p19r2,True,False,,
17,m1,2,2,3,True,p12r3|p25r3,p12r3|p14r3,p12r3|p14r3,True,False,,
17,m3,1,1,9,True,p4r2,p19r3,p19r3,True,False,,
18,m3,1,1,10,True,p4r2,p5r1,p5r1,True,False,,
19,m1,1,1,3,True,p7r3,p19r1,p19r1,True,False,,
19,m3,2,2,10,True,p25r1|p4r2,p22r2|p43r0,p22r2|p43r0,True,False,,
20,m3,3,3,11,True,p25r1|p38r1|p4r2,p28r0|p46r2|p5r0,p28r0|p46r2|p5r0,True,False,,
21,m1,1,1,6,True,p7r3,p28r2,p28r2,True,False,,
21,m3,1,1,12,True,p4r2,p28r1,p28r1,True,False,,
22,m3,2,2,11,True,p25r1|p4r2,p22r0|p28r3,p28r3|p5r2,False,False,0.11849713629427572,0.11849713629427572
24,m1,2,2,6,True,p25r3|p7r3,p22r1|p22r3,p22r1|p22r3,True,False,,
24,m3,1,1,11,True,p4r2,p41r0,p41r0,True,False,,
25,m3,1,1,12,True,p4r2,p41r3,p41r3,True,False,,
26,m1,1,1,7,True,p7r3,p1r0,p1r2,False,False,0.1373061950668425,0.1373061950668425
26,m3,2,2,14,True,p25r1|p4r2,p1r3|p41r1,p1r3|p41r1,True,False,,
27,m3,3,3,14,True,p25r1|p38r1|p4r2,p22r0|p33r1|p4r2,p22r0|p49r3|p4r2,False,False,0.047080102798499945,0.047080102798499945
28,m1,1,1,9,True,p7r3,p1r1,p1r1,True,False,,
28,m3,1,1,13,True,p25r1,p41r2,p41r2,True,False,,
29,m3,2,2,14,True,p25r1|p38r1,p29r0|p33r0,p29r0|p33r0,True,False,,
31,m1,2,2,13,True,p25r2|p7r3,p34r0|p34r3,p34r0|p34r3,True,False,,
31,m3,1,1,20,True,p25r1,p29r1,p29r3,False,False,0.20335260958422807,0.20335260958422807
32,m3,1,1,22,True,p25r1,p34r1,p34r1,True,False,,
33,m1,1,1,11,True,p7r3,p1r0,p1r0,True,False,,
33,m3,2,2,21,True,p25r1|p38r1,p29r1|p34r2,p29r1|p34r2,True,False,,
34,m3,3,3,22,True,p25r1|p38r1|p38r2,p29r2|p31r1|p50r3,p29r2|p31r1|p50r3,True,False,,
35,m1,1,1,10,True,p7r3,p5r3,p5r3,True,False,,
35,m3,1,1,20,True,p25r1,p16r0,p16r0,True,False,,
36,m3,2,2,20,True,p25r1|p38r1,p31r0|p50r2,p31r0|p50r2,True,False,,
38,m1,2,2,10,True,p25r2|p7r3,p16r1|p7r3,p16r1|p7r3,True,False,,
38,m3,1,1,23,True,p25r1,p50r0,p50r0,True,False,,
39,m3,1,1,22,True,p25r1,p50r1,p50r1,True,False,,
40,m1,1,1,10,True,p25r2,p16r3,p16r3,True,False,,
40,m3,2,2,23,True,p25r1|p38r1,p10r0|p10r3,p10r0|p10r3,True,False,,
41,m3,3,3,21,True,p25r1|p38r1|p38r2,p10r1|p10r2|p16r2,p10r1|p10r2|p16r2,True,False,,
42,m1,1,1,11,True,p25r2,p6r0,p6r1,False,False,0.12794852630172326,0.12794852630172326
42,m3,1,1,21,True,p25r1,p35r0,p6r3,False,False,0.21011759947294706,0.21011759947294706
43,m3,2,2,23,True,p25r1|p38r1,p35r0|p35r1,p35r0|p35r1,True,False,,
45,m1,2,2,12,True,p25r2|p25r3,p35r3|p6r0,p35r3|p6r0,True,False,,
45,m3,1,1,27,True,p25r1,p6r2,p6r2,True,False,,
46,m3,1,1,29,True,p25r1,p35r2,p35r2,True,False,,
47,m1,1,1,13,True,p25r2,p15r2,p15r2,True,False,,
47,m3,2,2,30,True,p25r1|p38r1,p30r3|p36r0,p30r3|p36r0,True,False,,
48,m3,3,3,29,True,p25r1|p38r1|p38r2,p30r0|p36r2|p40r1,p30r0|p36r2|p40r1,True,False,,
49,m1,1,1,13,True,p25r2,p15r3,p15r3,True,False,,
49,m3,1,1,30,True,p25r1,p15r1,p21r3,False,False,0.22710667539075036,0.22710667539075036
50,m3,2,2,31,True,p25r1|p38r1,p15r1|p21r2,p15r1|p21r2,True,False,,
52,m1,2,2,17,True,p25r2|p25r3,p13r2|p15r0,p13r2|p15r0,True,False,,
52,m3,1,1,34,True,p25r1,p21r1,p21r1,True,False,,
53,m3,1,1,37,True,p25r1,p21r0,p21r0,True,False,,
54,m1,1,1,15,True,p25r2,p1r1,p1r1,True,False,,
54,m3,2,2,38,True,p25r1|p38r1,p11r0|p42r0,p11r1|p42r0,False,False,0.10027837321410482,0.10027837321410482
55,m3,3,3,45,True,p25r1|p38r1|p38r2,p48r0|p48r1|p48r2,p48r0|p48r1|p48r2,True,False,,
56,m1,1,1,18,True,p25r2,p13r1,p13r1,True,False,,
56,m3,1,1,48,True,p25r1,p48r3,p48r3,True,False,,
57,m3,2,2,51,True,p25r1|p38r1,p13r0|p50r1,p13r0|p50r1,True,False,,
59,m1,2,2,23,True,p25r2|p25r3,p13r3|p44r2,p13r3|p44r2,True,False,,
59,m3,1,1,54,True,p25r1,p44r1,p44r1,True,False,,
60,m3,1,1,55,True,p25r1,p37r0,p37r0,True,False,,
61,m1,1,1,23,True,p25r2,p37r2,p37r2,True,False,,
61,m3,2,2,58,True,p25r1|p38r1,p44r3|p6r2,p44r3|p6r2,True,False,,
62,m3,3,3,56,True,p25r1|p38r1|p38r2,p18r0|p18r2|p39r0,p18r0|p18r2|p39r0,True,False,,
63,m1,1,1,24,True,p25r2,p37r3,p37r3,True,False,,
63,m3,1,1,53,True,p25r1,p18r1,p39r3,False,False,0.07793347618325641,0.07793347618325641
64,m3,2,2,52,True,p25r1|p38r1,p18r1|p18r3,p18r1|p39r1,False,False,0.08484348643166562,0.08484348643166562
66,m1,2,2,24,True,p25r2|p25r3,p37r1|p44r0,p37r1|p44r0,True,False,,
