day,facility,free_slots,n_start,n_waiting,contested,fifo,survival_index,adaptive_mpc,agree_index_vs_mpc,agree_fifo_vs_mpc,obj_mpc_choice,obj_index_choice
3,m1,4,2,2,False,p7r0|p7r3,p7r0|p7r3,p7r0|p7r3,True,True,,
3,m3,10,1,1,False,p2r2,p2r2,p2r2,True,True,,
4,m3,9,1,1,False,p2r1,p2r1,p2r1,True,True,,
5,m1,2,1,1,False,p7r1,p7r1,p7r1,True,True,,
5,m3,8,1,1,False,p2r0,p2r0,p2r0,True,True,,
6,m3,7,2,2,False,p2r3|p7r2,p2r3|p7r2,p2r3|p7r2,True,True,,
7,m3,5,2,2,False,p4r1|p8r0,p4r1|p8r0,p4r1|p8r0,True,True,,
8,m1,1,1,1,False,p38r0,p38r0,p38r0,True,True,,
8,m3,3,1,1,False,p8r1,p8r1,p8r1,True,True,,
9,m3,2,2,2,False,p4r3|p8r2,p4r3|p8r2,p4r3|p8r2,True,True,,
10,m3,1,1,1,False,p4r2,p4r2,p4r2,True,True,,
11,m1,2,2,2,False,p25r2|p4r0,p25r2|p4r0,p25r2|p4r0,True,True,,
11,m3,1,1,1,False,p25r1,p25r1,p25r1,True,True,,
12,m3,1,1,1,False,p12r1,p12r1,p12r1,True,True,,
13,m1,1,1,1,False,p25r3,p25r3,p25r3,True,True,,
13,m3,2,2,2,False,p46r2|p8r3,p46r2|p8r3,p46r2|p8r3,True,True,,
14,m3,2,2,2,False,p43r1|p43r3,p43r1|p43r3,p43r1|p43r3,True,True,,
15,m1,1,1,1,False,p12r0,p12r0,p12r0,True,True,,
15,m3,1,1,4,True,p38r1,p43r2,p43r2,True,False,,
16,m3,2,2,6,True,p38r1|p38r2,p46r0|p46r1,p46r0|p46r1,True,False,,
17,m3,1,1,6,True,p38r1,p12r2,p19r0,False,False,0.03852345241129029,0.03852345241129029
18,m1,2,2,2,False,p12r3|p46r3,p12r3|p46r3,p12r3|p46r3,True,True,,
18,m3,1,1,5,True,p38r1,p19r0,p19r0,True,False,,
19,m3,1,1,5,True,p38r1,p19r2,p19r2,True,False,,
20,m1,1,1,1,False,p14r3,p14r3,p14r3,True,True,,
20,m3,2,2,6,True,p38r1|p38r2,p19r3|p43r0,p19r3|p43r0,True,False,,
21,m3,2,2,4,True,p38r1|p38r2,p25r0|p38r1,p25r0|p38r2,False,False,0.011861466838011814,0.011861466838011814
22,m1,1,1,1,False,p19r1,p19r1,p19r1,True,True,,
22,m3,1,1,4,True,p38r2,p5r1,p5r1,True,False,,
23,m3,2,2,3,True,p38r2|p38r3,p14r0|p38r2,p14r0|p38r3,False,False,0.009490738396701115,0.009490738396701115
24,m3,1,1,2,True,p38r3,p22r2,p22r2,True,False,,
25,m1,2,2,3,True,p14r2|p5r3,p22r1|p5r3,p22r1|p5r3,True,False,,
25,m3,1,1,4,True,p8r2,p8r2,p8r2,True,True,,
26,m3,1,1,5,True,p38r3,p28r0,p28r0,True,False,,
27,m1,1,1,2,True,p14r2,p28r2,p28r2,True,False,,
27,m3,2,2,7,True,p14r1|p38r3,p28r1|p28r3,p28r1|p28r3,True,False,,
28,m3,2,2,5,True,p14r1|p38r3,p22r0|p5r0,p22r0|p5r0,True,False,,
29,m1,1,1,2,True,p14r2,p22r3,p22r3,True,False,,
29,m3,1,1,4,True,p38r3,p41r0,p41r0,True,False,,
30,m3,2,2,3,True,p14r1|p38r3,p14r1|p5r2,p14r1|p5r2,True,False,,
31,m3,1,1,2,True,p38r3,p49r0,p49r0,True,False,,
32,m1,2,2,3,True,p14r2|p1r0,p1r0|p1r2,p1r0|p1r2,True,False,,
32,m3,1,1,3,True,p38r3,p41r3,p41r3,True,False,,
33,m3,1,1,5,True,p38r3,p1r3,p1r3,True,False,,
34,m1,1,1,3,True,p14r2,p1r1,p1r1,True,False,,
34,m3,2,2,6,True,p38r3|p49r2,p33r1|p41r1,p33r1|p41r1,True,False,,
35,m3,2,2,6,True,p38r3|p49r2,p33r3|p41r2,p33r3|p41r2,True,False,,
36,m1,1,1,3,True,p14r2,p32r0,p32r0,True,False,,
36,m3,1,1,4,True,p38r3,p49r3,p49r3,True,False,,
37,m3,2,2,5,True,p38r3|p49r2,p29r0|p33r0,p29r0|p33r0,True,False,,
38,m3,1,1,7,True,p38r3,p29r1,p29r1,True,False,,
39,m1,2,2,7,True,p14r3|p19r1,p34r0|p34r3,p34r0|p34r3,True,False,,
39,m3,1,1,7,True,p38r3,p29r3,p29r3,True,False,,
40,m3,1,1,9,True,p38r3,p29r2,p29r2,True,False,,
41,m1,1,1,7,True,p14r3,p19r1,p19r1,True,False,,
41,m3,2,2,11,True,p38r3|p49r2,p34r1|p34r2,p34r1|p34r2,True,False,,
42,m3,2,2,9,True,p38r3|p49r2,p31r2|p31r3,p31r2|p31r3,True,False,,
43,m1,1,1,6,True,p14r3,p32r1,p32r2,False,False,0.00806915364230032,0.00806915364230032
43,m3,1,1,7,True,p38r3,p3r0,p3r0,True,False,,
44,m3,2,2,9,True,p38r3|p49r2,p31r1|p50r3,p31r1|p50r3,True,False,,
45,m3,1,1,8,True,p38r3,p16r0,p16r0,True,False,,
46,m1,2,2,5,True,p14r2|p14r3,p32r2|p32r3,p32r2|p32r3,True,False,,
46,m3,1,1,8,True,p38r3,p50r2,p50r2,True,False,,
47,m3,1,1,7,True,p38r3,p31r0,p31r0,True,False,,
48,m1,1,1,4,True,p14r3,p16r1,p16r1,True,False,,
48,m3,2,2,8,True,p38r3|p49r2,p16r2|p50r1,p16r2|p50r1,True,False,,
49,m3,2,2,9,True,p38r3|p49r2,p10r1|p50r0,p10r1|p50r0,True,False,,
50,m1,1,1,4,True,p14r3,p16r3,p16r3,True,False,,
50,m3,1,1,7,True,p38r3,p10r2,p10r2,True,False,,
51,m3,2,2,7,True,p38r3|p49r2,p3r1|p3r2,p3r1|p3r2,True,False,,
52,m3,1,1,7,True,p38r3,p10r0,p10r3,False,False,0.03986729667866018,0.03986729667866018
53,m1,2,2,3,True,p14r2|p14r3,p14r2|p33r2,p14r2|p33r2,True,False,,
53,m3,1,1,6,True,p38r3,p10r3,p10r3,True,False,,
54,m3,1,1,6,True,p38r3,p6r3,p6r3,True,False,,
55,m1,1,1,3,True,p14r3,p6r1,p6r1,True,False,,
55,m3,2,2,8,True,p38r3|p49r2,p35r0|p35r1,p35r0|p35r1,True,False,,
56,m3,2,2,8,True,p38r3|p49r2,p30r1|p40r3,p30r1|p40r3,True,False,,
57,m1,1,1,3,True,p14r3,p35r3,p35r3,True,False,,
57,m3,1,1,9,True,p38r3,p35r2,p35r2,True,False,,
58,m3,2,2,11,True,p38r3|p49r2,p30r0|p34r1,p30r0|p34r1,True,False,,
59,m3,1,1,11,True,p38r3,p6r2,p6r2,True,False,,
60,m1,2,2,4,True,p14r3|p6r0,p40r0|p6r0,p40r2|p6r0,False,False,0.10324274462103356,0.10324274462103356
60,m3,1,1,11,True,p38r3,p30r3,p30r3,True,False,,
61,m3,1,1,12,True,p38r3,p36r0,p36r0,True,False,,
62,m1,1,1,3,True,p14r3,p15r2,p15r2,True,False,,
62,m3,2,2,13,True,p38r3|p49r2,p36r2|p40r1,p36r2|p40r1,True,False,,
63,m3,2,2,14,True,p38r3|p49r2,p21r0|p21r3,p21r0|p21r3,True,False,,
64,m1,1,1,4,True,p14r3,p15r3,p15r3,True,False,,
64,m3,1,1,13,True,p38r3,p15r1,p15r1,True,False,,
65,m3,2,2,14,True,p38r3|p49r2,p21r2|p36r3,p21r2|p36r3,True,False,,
