day,facility,free_slots,n_start,n_waiting,contested,fifo,survival_index,adaptive_mpc,agree_index_vs_mpc,agree_fifo_vs_mpc,obj_mpc_choice,obj_index_choice
3,m1,4,1,1,False,p7,p7,p7,True,True,,
4,m1,3,1,1,False,p2,p2,p2,True,True,,
8,m1,2,1,1,False,p4,p4,p4,True,True,,
10,m1,2,1,1,False,p8,p8,p8,True,True,,
12,m1,2,1,1,False,p38,p38,p38,True,True,,
13,m1,1,1,1,False,p25,p25,p25,True,True,,
15,m1,1,1,1,False,p46,p46,p46,True,True,,
17,m1,1,1,1,False,p12,p12,p12,True,True,,
19,m1,1,1,2,True,p43,p19,p19,True,False,,
20,m1,1,1,1,False,p43,p43,p43,True,True,,
22,m1,1,1,1,False,p14,p14,p14,True,True,,
24,m1,1,1,1,False,p5,p5,p5,True,True,,
26,m1,1,1,2,True,p22,p28,p28,True,False,,
27,m1,1,1,1,False,p22,p22,p22,True,True,,
31,m1,2,1,1,False,p41,p41,p41,True,True,,
33,m1,2,1,1,False,p49,p49,p49,True,True,,
34,m1,2,1,1,False,p1,p1,p1,True,True,,
35,m1,1,1,1,False,p33,p33,p33,True,True,,
38,m1,1,1,3,True,p3,p29,p29,True,False,,
40,m1,1,1,2,True,p3,p32,p32,True,False,,
41,m1,1,1,2,True,p3,p31,p31,True,False,,
42,m1,1,1,2,True,p3,p34,p34,True,False,,
45,m1,1,1,1,False,p3,p3,p3,True,True,,
47,m1,1,1,3,True,p41,p50,p50,True,False,,
48,m1,1,1,2,True,p41,p16,p16,True,False,,
49,m1,1,1,2,True,p41,p10,p10,True,False,,
52,m1,1,1,3,True,p41,p1,p1,True,False,,
54,m1,1,1,2,True,p41,p41,p41,True,True,,
55,m1,1,1,2,True,p49,p30,p30,True,False,,
56,m1,1,1,2,True,p49,p35,p35,True,False,,
59,m1,1,1,5,True,p49,p6,p6,True,False,,
61,m1,1,1,4,True,p49,p40,p40,True,False,,
62,m1,1,1,3,True,p49,p20,p20,True,False,,
63,m1,1,1,3,True,p49,p15,p15,True,False,,
66,m1,1,1,5,True,p49,p21,p21,True,False,,
68,m1,1,1,5,True,p49,p1,p1,True,False,,
69,m1,1,1,6,True,p49,p11,p11,True,False,,
70,m1,1,1,7,True,p49,p42,p42,True,False,,
73,m1,1,1,10,True,p49,p13,p13,True,False,,
75,m1,1,1,11,True,p49,p48,p48,True,False,,
76,m1,1,1,12,True,p49,p44,p44,True,False,,
77,m1,1,1,11,True,p49,p39,p39,True,False,,
80,m1,1,1,12,True,p49,p15,p15,True,False,,
82,m1,1,1,12,True,p49,p37,p37,True,False,,
83,m1,1,1,11,True,p49,p18,p18,True,False,,
84,m1,1,1,10,True,p49,p24,p24,True,False,,
87,m1,1,1,11,True,p49,p42,p42,True,False,,
89,m1,1,1,11,True,p49,p13,p13,True,False,,
90,m1,1,1,10,True,p49,p36,p36,True,False,,
91,m1,1,1,10,True,p49,p47,p47,True,False,,
94,m1,1,1,9,True,p49,p30,p30,True,False,,
96,m1,1,1,8,True,p49,p27,p27,True,False,,
97,m1,1,1,7,True,p49,p45,p45,True,False,,
98,m1,1,1,6,True,p49,p17,p17,True,False,,
101,m1,1,1,6,True,p49,p18,p18,True,False,,
103,m1,1,1,5,True,p49,p9,p9,True,False,,
104,m1,1,1,4,True,p49,p26,p26,True,False,,
105,m1,1,1,3,True,p49,p23,p23,True,False,,
108,m1,1,1,3,True,p49,p47,p47,True,False,,
110,m1,1,1,3,True,p49,p30,p30,True,False,,
111,m1,1,1,2,True,p49,p32,p32,True,False,,
112,m1,1,1,1,False,p49,p49,p49,True,True,,
