pid,tier,c,h,t0,alpha_tier,w_risk
p1,H,c4,h4,32,1500000.0,0.15
p2,H,c3,h3,2,1500000.0,0.15
p3,L,c2,h2,34,500000.0,0.02
p4,M,c4,h4,6,1000000.0,0.05
p5,M,c2,h2,20,1000000.0,0.05
p6,H,c1,h1,55,1500000.0,0.15
p7,M,c1,h1,1,1000000.0,0.05
p8,H,c2,h2,8,1500000.0,0.15
p9,L,c2,h2,67,500000.0,0.02
p10,M,c2,h2,46,1000000.0,0.05
p11,M,c1,h1,66,1000000.0,0.05
p12,M,c3,h3,13,1000000.0,0.05
p13,H,c4,h4,69,1500000.0,0.15
p14,L,c4,h4,19,500000.0,0.02
p15,H,c4,h4,61,1500000.0,0.15
p16,M,c3,h3,44,1000000.0,0.05
p17,L,c1,h1,68,500000.0,0.02
p18,M,c1,h1,76,1000000.0,0.05
p19,M,c1,h1,17,1000000.0,0.05
p20,L,c1,h1,55,500000.0,0.02
p21,H,c2,h2,61,1500000.0,0.15
p22,M,c1,h1,24,1000000.0,0.05
p23,L,c4,h4,63,500000.0,0.02
p24,M,c4,h4,72,1000000.0,0.05
p25,L,c4,h4,10,500000.0,0.02
p26,L,c4,h4,66,500000.0,0.02
p27,L,c1,h1,83,500000.0,0.02
p28,H,c3,h3,24,1500000.0,0.15
p29,H,c2,h2,36,1500000.0,0.15
p30,M,c3,h3,53,1000000.0,0.05
p31,L,c2,h2,38,500000.0,0.02
p32,L,c4,h4,35,500000.0,0.02
p33,L,c4,h4,33,500000.0,0.02
p34,H,c3,h3,40,1500000.0,0.15
p35,H,c3,h3,54,1500000.0,0.15
p36,M,c4,h4,61,1000000.0,0.05
p37,H,c4,h4,79,1500000.0,0.15
p38,L,c3,h3,9,500000.0,0.02
p39,M,c2,h2,73,1000000.0,0.05
p40,M,c4,h4,55,1000000.0,0.05
p41,M,c3,h3,29,1000000.0,0.05
p42,M,c3,h3,67,1000000.0,0.05
p43,M,c2,h2,15,1000000.0,0.05
p44,H,c4,h4,74,1500000.0,0.15
p45,L,c4,h4,71,500000.0,0.02
p46,M,c3,h3,12,1000000.0,0.05
p47,M,c3,h3,88,1000000.0,0.05
p48,H,c3,h3,69,1500000.0,0.15
p49,L,c1,h1,30,500000.0,0.02
p50,H,c3,h3,44,1500000.0,0.15
